,Wk,Day,Date,Time,Home,Away,HomeGoals,AwayGoals,HXG,AXG,,,Attendance,Venue,Referee
41,6,Mon,3/10/2022,18:00,PAS Giannina,Panetolikos,1,4,1.2,1.3,,,1177,Stadio Zosimades,Dimitris Maloutas
42,6,Mon,3/10/2022,20:00,AEK Athens,Ionikos,4,1,1.6,0.2,,,31100,Olympiako Stadio Spyros Louis,Vassilis Fotias
43,7,Sat,8/10/2022,17:00,Panetolikos,Volos NFC,2,3,0.5,1.2,,,2653,Stadio Panetolikou,Konstantinos Katoikos
44,7,Sat,8/10/2022,19:30,Ionikos,PAS Lamia,1,1,1.3,0.4,,,1022,Dimotiko Gipedo Neapolis Nikaias,Andreas Gamaris
45,7,Sun,9/10/2022,16:00,OFI Crete,Olympiacos,1,2,0.5,1.6,,,5100,Stadio Thódoros Vardinoyánnis,Aristotelis Diamantopoulos
46,7,Sun,9/10/2022,16:30,Levadiakos,PAOK,1,1,0.5,1.2,,,2043,Stadio Levadias,Evangelos Manouhos
47,7,Sun,9/10/2022,19:30,Panathinaikos,Asteras Tripoli,1,0,1.8,0.3,,,13930,Stadio Apóstolos Nikolaidis,Ioannis Papadopoulos
48,7,Sun,9/10/2022,21:15,Aris,AEK Athens,0,2,0.4,1.7,,,11846,Stadio Harilaou Kleánthis Vikelídis,Gustavo Correia
49,7,Mon,10/10/2022,18:00,Atromitos,PAS Giannina,2,1,1.7,0.4,,,804,Stadio Peristeriou,Angelos Angelakis
50,8,Sat,15/10/2022,17:00,Volos NFC,Levadiakos,2,1,0.8,1,,,2357,Dimotiko Stadio Neapolis Volou,Petros Tsagarakis
51,8,Sat,15/10/2022,20:30,Aris,Ionikos,2,1,2.3,0.7,,,6739,Stadio Harilaou Kleánthis Vikelídis,Anastasios Papapetrou
52,8,Sun,16/10/2022,16:00,AEK Athens,Atromitos,1,0,2.2,0.5,,,30528,Olympiako Stadio Spyros Louis,Anastasios Sidiropoulos
53,8,Sun,16/10/2022,18:00,PAS Giannina,OFI Crete,2,2,1.3,0.5,,,1808,Stadio Zosimades,Angelos Evangelou
54,8,Sun,16/10/2022,19:30,PAS Lamia,Panathinaikos,0,2,0.2,0.9,,,2584,Dimotiko Athlitiko Kentro Lamias,Vassilis Fotias
55,8,Sun,16/10/2022,20:30,Asteras Tripoli,Panetolikos,0,0,1.2,0.2,,,975,Stadio Theodoros Kolokotronis,Spiros Zabalas
56,8,Mon,17/10/2022,20:00,Olympiacos,PAOK,1,2,1.6,0.3,,,25100,Stadio Georgios Karaiskáki,Andris Treimanis
57,9,Sat,22/10/2022,19:00,Atromitos,Volos NFC,0,2,0.5,0.8,,,1682,Stadio Peristeriou,Vassilis Fotias
58,9,Sat,22/10/2022,19:30,Panetolikos,Olympiacos,0,2,0.1,1,,,3288,Stadio Panetolikou,Andreas Gamaris
59,9,Sun,23/10/2022,16:00,Ionikos,PAS Giannina,2,2,0.4,2.3,,,1329,Dimotiko Gipedo Neapolis Nikaias,Athanasios Tzilos
60,9,Sun,23/10/2022,19:30,PAOK,Asteras Tripoli,2,2,2.2,1.5,,,12495,Stadio Toumbas,Stefanos Koubarakis
61,9,Sun,23/10/2022,19:30,Panathinaikos,Aris,1,0,0.6,0.2,,,12917,Stadio Apóstolos Nikolaidis,Theodoros Daloukas
62,9,Mon,24/10/2022,18:00,Levadiakos,AEK Athens,0,2,0.3,1.9,,,3225,Stadio Levadias,Christos Vergetis
63,9,Mon,24/10/2022,20:00,OFI Crete,PAS Lamia,0,0,0.6,0.7,,,3025,Stadio Thódoros Vardinoyánnis,Dimitris Maloutas
64,10,Sat,29/10/2022,17:00,Ionikos,Panetolikos,1,1,0.8,1.6,,,1133,Dimotiko Gipedo Neapolis Nikaias,Anastasios Papapetrou
65,10,Sat,29/10/2022,19:30,Volos NFC,Panathinaikos,1,5,1.3,1.1,,,14882,Dimotiko Stadio Neapolis Volou,Anastasios Sidiropoulos
66,10,Sun,30/10/2022,16:00,Olympiacos,PAS Lamia,2,0,0.8,0.9,,,17024,Stadio Georgios Karaiskáki,Evangelos Manouhos
67,10,Sun,30/10/2022,16:30,Levadiakos,Atromitos,2,1,1.9,0.5,,,1073,Stadio Levadias,Aristotelis Diamantopoulos
68,10,Sun,30/10/2022,19:30,AEK Athens,PAOK,2,0,1,0.4,,,31100,Olympiako Stadio Spyros Louis,Daniel Stefanski
69,10,Sun,30/10/2022,20:30,Aris,OFI Crete,1,1,1.3,0.2,,,7006,Stadio Harilaou Kleánthis Vikelídis,Georgios Tzovaras
70,10,Mon,31/10/2022,18:00,PAS Giannina,Asteras Tripoli,2,1,1.4,0.5,,,1330,Stadio Zosimades,Fotis Polychronis
71,11,Sat,5/11/2022,15:45,PAS Lamia,Volos NFC,2,2,1.4,0.5,,,1267,Dimotiko Athlitiko Kentro Lamias,Stavros Tsimenteridis
72,11,Sat,5/11/2022,18:30,OFI Crete,Ionikos,0,2,0.9,1.6,,,3904,Stadio Thódoros Vardinoyánnis,Konstantinos Katoikos
73,11,Sat,5/11/2022,19:00,Atromitos,Aris,0,0,0.3,0.6,,,2263,Stadio Peristeriou,Spiros Zabalas
74,11,Sat,5/11/2022,21:00,PAOK,PAS Giannina,2,0,1.6,0.2,,,7800,Stadio Toumbas,Konstantinos Perrakis
75,11,Sun,6/11/2022,16:00,Panetolikos,Levadiakos,0,0,0.9,0.1,,,1821,Stadio Panetolikou,Angelos Evangelou
76,11,Sun,6/11/2022,19:30,Panathinaikos,Olympiacos,1,1,1,0.9,,,13907,Stadio Apóstolos Nikolaidis,Jakob Kehlet
77,11,Sun,6/11/2022,20:30,Asteras Tripoli,AEK Athens,1,1,0.5,1.8,,,1120,Stadio Theodoros Kolokotronis,Vassilis Fotias
78,12,Tue,8/11/2022,20:00,Aris,PAS Lamia,5,0,2.1,0.5,,,4837,Stadio Harilaou Kleánthis Vikelídis,Anastasios Sidiropoulos
79,12,Wed,9/11/2022,17:00,Panetolikos,Panathinaikos,0,1,0.2,2.1,,,3391,Stadio Panetolikou,Christos Vergetis
80,12,Wed,9/11/2022,18:00,Atromitos,Asteras Tripoli,2,0,0.9,2.7,,,1345,Stadio Peristeriou,Efstathios Gortsilas
81,12,Wed,9/11/2022,20:00,AEK Athens,OFI Crete,3,0,2.2,0.4,,,29128,Olympiako Stadio Spyros Louis,Aristomenis Koutsiaftis
82,12,Wed,9/11/2022,20:00,Levadiakos,Olympiacos,0,1,0.4,0.7,,,3669,Stadio Levadias,Ioannis Papadopoulos
83,12,Thu,10/11/2022,19:00,Volos NFC,PAS Giannina,2,1,1.3,0.4,,,2209,Dimotiko Stadio Neapolis Volou,Anastasios Papapetrou
84,12,Thu,10/11/2022,21:30,Ionikos,PAOK,0,3,0.2,1.5,,,1111,Dimotiko Gipedo Neapolis Nikaias,Petros Tsagarakis
85,13,Sun,13/11/2022,16:00,PAS Giannina,Aris,0,4,0.4,2.5,,,1955,Stadio Zosimades,Dimitris Maloutas
86,13,Sun,13/11/2022,17:15,Panathinaikos,Atromitos,2,0,1.3,0.1,,,13163,Stadio Apóstolos Nikolaidis,Evangelos Manouhos
87,13,Sun,13/11/2022,18:00,PAS Lamia,Panetolikos,1,3,0.7,2.4,,,1202,Dimotiko Athlitiko Kentro Lamias,Alexandros Tsakalidis
88,13,Sun,13/11/2022,19:30,Olympiacos,AEK Athens,0,0,0.9,1,,,31717,Stadio Georgios Karaiskáki,Glenn Nyberg
89,13,Sun,13/11/2022,21:30,PAOK,Volos NFC,3,0,2.7,0.9,,,9880,Stadio Toumbas,Andreas Gamaris
90,13,Mon,14/11/2022,18:00,Asteras Tripoli,Ionikos,1,0,1.7,0.8,,,856,Stadio Theodoros Kolokotronis,Konstantinos Perrakis
91,13,Mon,14/11/2022,19:30,OFI Crete,Levadiakos,2,1,1.6,0.2,,,3015,Stadio Thódoros Vardinoyánnis,Angelos Angelakis
92,14,Wed,21/12/2022,15:00,Levadiakos,Aris,1,1,0.5,1.4,,,NA,Stadio Levadias,Anastasios Papapetrou
93,14,Wed,21/12/2022,17:00,AEK Athens,PAS Lamia,3,0,1.9,0.3,,,23571,Olympiako Stadio Spyros Louis,Evangelos Manouhos
94,14,Wed,21/12/2022,17:00,Asteras Tripoli,Volos NFC,0,0,1.5,0.8,,,533,Stadio Theodoros Kolokotronis,Georgios Tzovaras
95,14,Wed,21/12/2022,20:00,PAS Giannina,Olympiacos,2,2,1.1,1.1,,,4108,Stadio Zosimades,Stefanos Koubarakis
96,14,Wed,21/12/2022,21:30,Ionikos,Panathinaikos,1,1,0.5,1.5,,,1094,Dimotiko Gipedo Neapolis Nikaias,Ioannis Papadopoulos
97,14,Thu,22/12/2022,17:00,OFI Crete,Atromitos,0,1,0.9,0.2,,,NA,Stadio Thódoros Vardinoyánnis,Athanasios Tzilos
98,14,Thu,22/12/2022,19:30,Panetolikos,PAOK,0,2,0.7,1.9,,,NA,Stadio Panetolikou,Anastasios Sidiropoulos
99,15,Wed,28/12/2022,17:00,Levadiakos,Ionikos,1,0,1.1,0.9,,,NA,Stadio Levadias,Anastasios Sidiropoulos
100,15,Wed,28/12/2022,18:00,Olympiacos,Asteras Tripoli,5,0,1.8,0.8,,,NA,Stadio Georgios Karaiskáki,Konstantinos Perrakis
101,15,Wed,28/12/2022,19:30,Volos NFC,AEK Athens,0,4,0.2,2,,,NA,Dimotiko Stadio Neapolis Volou,Petros Tsagarakis
102,15,Wed,28/12/2022,20:00,Atromitos,PAOK,1,1,0.5,1,,,NA,Stadio Peristeriou,Aristomenis Koutsiaftis
103,15,Wed,28/12/2022,21:30,Panathinaikos,OFI Crete,1,1,1.3,0,,,NA,Stadio Apóstolos Nikolaidis,Efstathios Gortsilas
104,15,Thu,29/12/2022,18:00,Aris,Panetolikos,1,0,2.5,0.3,,,NA,Stadio Harilaou Kleánthis Vikelídis,Spiros Zabalas
105,15,Thu,29/12/2022,18:30,PAS Lamia,PAS Giannina,1,1,0.4,0.4,,,NA,Dimotiko Athlitiko Kentro Lamias,Christos Vergetis
